comentarios,total_abandonos,total_comentarios,tasa_abandono
conflictos en el grupo de trabajo reportados,15,15,1.0
conforme,5,30,0.16666666666666666
constancia en el estudio,0,25,0.0
consulta bibliografia adicional por iniciativa,0,21,0.0
consulta dudas de forma ocasional,6,43,0.13953488372093023
contacta por correo electronico en ocasiones,8,30,0.26666666666666666
cumple,10,47,0.2127659574468085
cumple metas academicas con disciplina,1,36,0.027777777777777776
cumple plazos basicos de entrega,9,39,0.23076923076923078
cumple siempre con las entregas,5,496,0.010080645161290322
cumple siempre con las fechas de entrega,6,363,0.01652892561983471
cumple siempre con las normas del aula,1,117,0.008547008547008548
cumple siempre con los requisitos,1,34,0.029411764705882353
cumplimiento de normativas basico,8,45,0.17777777777777778
curiosidad intelectual permanente,0,32,0.0
curiosidad sin limites siempre pregunta 'y por que?',0,29,0.0
deja todo para el ultimo momento procrastinacion severa,15,16,0.9375
demasiados suspensos en un mismo semestre,12,12,1.0
demuestra autonomia en el aprendizaje,1,22,0.045454545454545456
demuestra un notable interes y curiosidad,0,39,0.0
desapego progresivo al entorno academico,7,7,1.0
desaprovecha recursos de la universidad,18,19,0.9473684210526315
descarga basica de materiales,7,39,0.1794871794871795
desconocido,3123,12295,0.25400569337128914
desinteres aparente en las tareas colectivas,16,19,0.8421052631578947
destaca en las evaluaciones aplicadas,1,34,0.029411764705882353
destaca por su responsabilidad social,1,34,0.029411764705882353
destreza en la resolucion de problemas,1,34,0.029411764705882353
dificultades en la gestion del tiempo personal,13,13,1.0
dificultades graves en asignaturas de primer ano,14,14,1.0
dificultades para compaginar asistencia y tareas,67,74,0.9054054054054054
dificultades para compaginar trabajo y estudio,149,162,0.9197530864197531
dificultades para compaginar vida personal y estudios,90,97,0.9278350515463918
dirige con eficacia el grupo de trabajo,1,42,0.023809523809523808
domina el software de la asignatura a nivel experto,0,38,0.0
ejecuta las tareas segun lo solicitado ni mas ni menos,9,39,0.23076923076923078
el alumno cumple con los minimos exigibles para superar la materia,13,46,0.2826086956521739
elemento clave y colaborador en su grupo,0,34,0.0
entorno personal poco favorable para el estudio,9,9,1.0
entrega adecuada de tareas,70,319,0.219435736677116
entrega de examenes en condiciones normales,8,50,0.16
entrega de trabajos impecable,0,29,0.0
entrega en plazo de tareas,116,507,0.22879684418145957
entrega las tareas en plazo,7,33,0.21212121212121213
entrega puntual de tareas,72,293,0.24573378839590443
entrega trabajos copiados de fuentes de internet sin citar,8,8,1.0
entregas incompletas o de baja calidad,17,17,1.0
es un alumno silencioso pero parece atento,7,34,0.20588235294117646
es un ejemplo a seguir para sus companeros,0,25,0.0
esta bloqueado con el tfg sin avances en meses,11,11,1.0
evolucion academica dentro de la normalidad sin altibajos,13,45,0.28888888888888886
evolucion academica excelente,2,29,0.06896551724137931
excelente companero siempre ayuda,2,28,0.07142857142857142
expediente administrativo en orden,9,38,0.23684210526315788
expone dudas pertinentes en tutorias,1,38,0.02631578947368421
expone intencion de abandonar estudios,13,13,1.0
expresa dudas sobre continuar los estudios,118,129,0.9147286821705426
expresa dudas sobre la titulacion,154,162,0.9506172839506173
expresa dudas sobre su vocacion,141,152,0.9276315789473685
expresa inseguridad sobre su futuro profesional,13,14,0.9285714285714286
expresion verbal correcta,4,30,0.13333333333333333
falla en competencias esenciales,8,8,1.0
falta de apoyo familiar detectada,11,11,1.0
falta de motivacion evidente,13,13,1.0
faltas de asistencia superiores a la media,10,11,0.9090909090909091
faltas puntuales justificadas,8,30,0.26666666666666666
faltas reiteradas en clase,62,65,0.9538461538461539
faltas reiteradas en practicas,59,64,0.921875
faltas reiteradas en seminarios,46,49,0.9387755102040817
faltas reiteradas en tutorias,36,40,0.9
fortalece la cohesion entre companeros,1,28,0.03571428571428571
genera debate constructivo en linea,1,37,0.02702702702702703
genera dinamica positiva en equipos,1,32,0.03125
gran capacidad de autoestudio,0,37,0.0
gran comunicador en exposiciones,1,31,0.03225806451612903
graves dificultades economicas,8,9,0.8888888888888888
ha acumulado varias asignaturas pendientes,20,21,0.9523809523809523
ha comunicado problemas de salud recurrentes,12,14,0.8571428571428571
ha comunicado problemas economicos familiares,11,12,0.9166666666666666
ha expresado dudas sobre continuar en la titulacion,7,7,1.0
ha mejorado notablemente en asignaturas troncales,6,412,0.014563106796116505
ha mejorado notablemente en estadistica,2,203,0.009852216748768473
ha mejorado notablemente en matematicas,5,240,0.020833333333333332
ha mejorado notablemente en programacion,3,243,0.012345679012345678
ha obtenido becas de colaboracion y premios,0,26,0.0
ha pedido segunda convocatoria de varias asignaturas,16,16,1.0
ha pedido traslado a otra universidad,16,17,0.9411764705882353
ha senalado dificultades de recursos basicos,8,8,1.0
ha solicitado cambio de asignaturas obligatorias,13,13,1.0
ha solicitado cita con el servicio psicologico,13,13,1.0
ha superado dificultades personales sin que afecte a su rendimiento admirable,0,31,0.0
habilidades de organizacion sobresalientes,0,35,0.0
habilidades logicas destacables,1,45,0.022222222222222223
habla de cambiar de ciudad por motivos personales,10,11,0.9090909090909091
habla de darse de baja en proximas semanas,14,14,1.0
habla en publico con confianza,0,36,0.0
impulsor de actividades complementarias,0,35,0.0
inasistencia sin justificar en examenes parciales,6,7,0.8571428571428571
independiente y eficaz al resolver tareas,0,35,0.0
informe del profesor indica bajo compromiso,6,6,1.0
integracion adecuada en el grupo,7,35,0.2
interaccion justa y necesaria,4,32,0.125
interaccion minima pero correcta,7,40,0.175
interaccion respetuosa con profesores,0,33,0.0
interaccion social neutra,12,52,0.23076923076923078
interes genuino en aprender mas,0,29,0.0
interviene en algunas sesiones,10,33,0.30303030303030304
justifica sus suspensos culpando a factores externos,18,18,1.0
lenguaje apropiado,9,35,0.2571428571428571
lider natural el resto del equipo confia en su criterio,0,26,0.0
maneja el estres de los examenes con una calma admirable,0,30,0.0
matricula formalizada sin incidencias,11,42,0.2619047619047619
mejora constante en sus resultados,1,31,0.03225806451612903
modera los debates en clase de forma brillante,0,41,0.0
motivacion evidente hacia la carrera,0,25,0.0
muestra bajo nivel de participacion en clase,11,12,0.9166666666666666
muestra dificultades de adaptacion al ritmo universitario,11,11,1.0
muestra gran fortaleza y una impresionante capacidad de superacion,0,25,0.0
muestra gran interes por asignaturas troncales,4,459,0.008714596949891068
muestra gran interes por estadistica,1,115,0.008695652173913044
muestra gran interes por matematicas,2,180,0.011111111111111112
muestra gran interes por programacion,1,262,0.003816793893129771
muestra lagunas de conocimiento de cursos anteriores,13,13,1.0
muestra un interes normal por la asignatura,8,34,0.23529411764705882
muy participativo en clase aporta ideas,1,34,0.029411764705882353
muy trabajador y constante,1,38,0.02631578947368421
nivel academico muy alto,1,40,0.025
no acude a tutorias de recuperacion,14,14,1.0
no asiste a clase,89,97,0.9175257731958762
no asiste a practicas,114,119,0.957983193277311
no asiste a seminarios,91,99,0.9191919191919192
no asiste a seminarios practicos,8,8,1.0
no asiste a sesiones de tutoria con regularidad,16,16,1.0
no asiste a tutorias,136,142,0.9577464788732394
no cuenta con referentes universitarios,17,20,0.85
no descarga materiales de apoyo,10,12,0.8333333333333334
no destaca ni positiva ni negativamente,7,41,0.17073170731707318
no entrega ejercicios en plazo,60,64,0.9375
no entrega informes en plazo,119,127,0.937007874015748
no entrega practicas en plazo,82,85,0.9647058823529412
no entrega trabajos en plazo,90,96,0.9375
no entrega trabajos en plazo de forma repetida,17,19,0.8947368421052632
no interactua con nadie ni en clase ni fuera,13,14,0.9285714285714286
no interviene pero sigue la clase sin problemas aparentes,10,36,0.2777777777777778
no logra adaptarse al entorno academico,11,11,1.0
no logra recuperar asignaturas previas,4,5,0.8
no parece que vaya a continuar el ano que viene,14,16,0.875
no participa en actividades extracurriculares,10,10,1.0
no presenta alteraciones de conducta,10,40,0.25
no presenta los entregables del trabajo de fin de grado,10,10,1.0
no requiere adaptaciones curriculares,10,28,0.35714285714285715
no responde a los correos electronicos del profesorado,13,14,0.9285714285714286
no se detectan incidencias relevantes,11,29,0.3793103448275862
no se han reportado problemas de ningun tipo,9,36,0.25
no se presenta a las revisiones de examen,6,6,1.0
no suele faltar a clase,8,32,0.25
no trae el material necesario a las practicas,9,12,0.75
notas aceptable en evaluaciones,127,482,0.26348547717842324
notas basico en evaluaciones,177,687,0.2576419213973799
notas moderado en evaluaciones,125,548,0.2281021897810219
notas muy por encima de la media,1,32,0.03125
notas promedio sin destacar,7,38,0.18421052631578946
nunca ha entrado en el horario de tutorias,11,12,0.9166666666666666
obtiene notas muy altas en trabajos practicos,0,30,0.0
obtiene resultados destacados en examenes,0,255,0.0
obtiene resultados destacados en presentaciones,6,446,0.013452914798206279
obtiene resultados destacados en trabajos,3,256,0.01171875
ok,5,33,0.15151515151515152
parece confiado pero los resultados no acompanan su actitud,12,12,1.0
parece sobrepasado por la carga de trabajo no gestiona bien los plazos,11,11,1.0
parece tener dificultades para establecer relaciones sociales,14,14,1.0
participa activamente en clase,2,426,0.004694835680751174
participa activamente en foros,1,119,0.008403361344537815
participa activamente en foros moodle,0,26,0.0
participa activamente en seminarios,2,298,0.006711409395973154
participa activamente en tutorias,2,273,0.007326007326007326
participa cuando se le solicita,9,37,0.24324324324324326
participa de forma educada,10,41,0.24390243902439024
participa en eventos universitarios,0,29,0.0
participacion aceptable en clase,60,237,0.25316455696202533
participacion activa y destacada en clase,0,31,0.0
participacion basico en clase,98,382,0.25654450261780104
participacion en evaluaciones habitual,5,38,0.13157894736842105
participacion minima en proyectos grupales,9,11,0.8181818181818182
participacion moderada en clase,9,36,0.25
participacion moderado en clase,72,352,0.20454545454545456
participacion optima en sesiones de seguimiento,0,35,0.0
pasa desapercibido en el aula,13,51,0.2549019607843137
pensamiento critico y creativo en el laboratorio,0,38,0.0
perfil de alumno estandar,6,29,0.20689655172413793
pieza fundamental en proyectos grupales,0,33,0.0
plantea un cambio de carrera,12,14,0.8571428571428571
plantea un posible cambio de titulacion,13,13,1.0
poca o ninguna autocritica sobre su rendimiento,8,10,0.8
posible caso de plagio en el ultimo informe se requiere revision,14,15,0.9333333333333333
pregunta en tutorias de vez en cuando,10,32,0.3125
pregunta por cuestiones que ya han sido explicadas repetidamente,6,6,1.0
presencia correcta en tutorias,10,30,0.3333333333333333
presenta signos de ansiedad en examenes,14,15,0.9333333333333333
presenta trabajos en tiempo,10,41,0.24390243902439024
presentaciones claras y estructuradas,0,25,0.0
proactivo en la busqueda de material complementario,0,33,0.0
problemas de integracion en su grupo,11,12,0.9166666666666666
problemas economicos en casa que afectan al estudio,13,16,0.8125
problemas emocionales que afectan al rendimiento,9,10,0.9
problemas para seguir el ritmo de las clases,7,7,1.0
progresa adecuadamente,9,46,0.1956521739130435
progreso academico medio,5,29,0.1724137931034483
progreso notable semestre tras semestre,0,26,0.0
promedio de notas superior a 8,2,30,0.06666666666666667
propone soluciones originales e innovadoras a los problemas planteados,0,32,0.0
realiza las entregas y poco mas,11,39,0.28205128205128205
referente en su promocion,1,30,0.03333333333333333
relacion aceptable con companeros,113,421,0.2684085510688836
relacion adecuado con companeros,124,473,0.26215644820295986
relacion correcto con companeros,94,398,0.23618090452261306
relaciones normales con companeros,15,43,0.3488372093023256
rendimiento academico muy deficiente,11,12,0.9166666666666666
rendimiento acorde a la media,9,43,0.20930232558139536
rendimiento decreciente en semestres recientes,15,17,0.8823529411764706
rendimiento global excelente,0,35,0.0
rendimiento muy bajo en materias troncales,9,10,0.9
rendimiento sobresaliente matricula de honor en varias asignaturas,0,25,0.0
reportes de profesores: alumno desconectado,14,14,1.0
respeta las reglas establecidas,11,40,0.275
respeta plazos con alta calidad en los entregables,1,33,0.030303030303030304
responde a encuestas institucionales,10,34,0.29411764705882354
responde a mensajes con normalidad,10,34,0.29411764705882354
retrasos frecuentes en entrega de practicas,15,15,1.0
se ausenta en tutorias sin justificar,6,6,1.0
se detectan roces frecuentes con companeros,15,15,1.0
se distrae con facilidad en clase,15,15,1.0
se duerme en clase con frecuencia,8,9,0.8888888888888888
se le ve aislado del resto de la clase,8,9,0.8888888888888888
se mantiene en la media del grupo,15,43,0.3488372093023256
se muestra ilusionado con la titulacion,0,30,0.0
se muestra perdido no sabe que hay que hacer en las tareas,10,12,0.8333333333333334
se nota que disfruta aprendiendo transmite entusiasmo,0,34,0.0
se observa perdida de interes por los estudios,11,11,1.0
se ofrece para ayudar a companeros,5,284,0.017605633802816902
se ofrece para ayudar a el equipo,2,460,0.004347826086956522
se ofrece para ayudar a nuevos estudiantes,1,394,0.0025380710659898475
se percibe una falta de interes total en la materia,13,14,0.9285714285714286
se plantea abandonar por dificultades personales,169,176,0.9602272727272727
se plantea abandonar por falta de motivacion,170,178,0.9550561797752809
se plantea abandonar por problemas economicos,150,162,0.9259259259259259
se plantea dejarlo,16,18,0.8888888888888888
se plantea interrumpir la carrera este curso,8,10,0.8
se recomienda seguimiento por posible desmotivacion,16,16,1.0
siempre dispuesto a colaborar con el departamento en lo que haga falta,0,30,0.0
siempre presente en clases teoricas y practicas,0,47,0.0
siempre va un paso por delante del temario,0,38,0.0
sigue las indicaciones de las practicas al pie de la letra,8,41,0.1951219512195122
sin comentarios adicionales,10,33,0.30303030303030304
sin incidencias,14,44,0.3181818181818182
sin novedad en el seguimiento,11,37,0.2972972972972973
sin solicitudes especiales registradas,6,41,0.14634146341463414
situacion academica estable,102,453,0.2251655629139073
situacion academica normal,89,346,0.25722543352601157
situacion academica sin cambios,74,282,0.2624113475177305
situacion academica sin cambios relevantes,11,42,0.2619047619047619
situacion administrativa estable,6,36,0.16666666666666666
situacion familiar compleja que interfiere con sus estudios,16,16,1.0
situacion normal,11,37,0.2972972972972973
solicita reconocimiento de estudios externos,13,14,0.9285714285714286
su actitud frente a el trabajo en equipo es ejemplar,3,307,0.009771986970684038
su actitud frente a las practicas es ejemplar,3,360,0.008333333333333333
su actitud frente a los examenes es ejemplar,4,263,0.015209125475285171
su asistencia es correcta,14,44,0.3181818181818182
su capacidad para sintetizar ideas complejas es digna de mencion,1,35,0.02857142857142857
su participacion siempre enriquece el debate en el aula,0,42,0.0
su rendimiento es suficiente,9,45,0.2
su rendimiento ha caido en picado este ultimo semestre,14,14,1.0
su tfg es de una calidad excepcional podria publicarse,0,34,0.0
subestima la dificultad de las materias y no estudia lo suficiente,12,12,1.0
suspensos reiterados en asignaturas clave,12,13,0.9230769230769231
tiene dudas sobre la carrera elegida,12,12,1.0
tiene un plan de carrera claro y trabaja para conseguirlo,0,27,0.0
un placer tenerle en clase,0,30,0.0
uso de moodle estandar,5,34,0.14705882352941177
uso estandar de la plataforma moodle,82,369,0.2222222222222222
uso excesivo del movil durante las explicaciones,13,13,1.0
uso habitual de la plataforma moodle,76,252,0.30158730158730157
uso normal de la plataforma moodle,114,462,0.24675324675324675
uso ocasional de servicios universitarios,8,35,0.22857142857142856
viene a clase solo a cumplir el expediente,4,4,1.0
¡un alumno excelente! de los que dejan huella,0,36,0.0
