variable_estudio,categoria,total_entradas,total_abandonos,porcentaje_abandono
comentarios,muestra lagunas de conocimiento de cursos anteriores,13,13,100.0000
comentarios,muestra un interes normal por la asignatura,34,8,23.5294
comentarios,muy participativo en clase aporta ideas,34,1,2.9412
comentarios,muy trabajador y constante,38,1,2.6316
comentarios,nivel academico muy alto,40,1,2.5000
comentarios,no acude a tutorias de recuperacion,14,14,100.0000
comentarios,no asiste a clase,97,89,91.7526
comentarios,no asiste a practicas,119,114,95.7983
comentarios,no asiste a seminarios,99,91,91.9192
comentarios,no asiste a seminarios practicos,8,8,100.0000
comentarios,no asiste a sesiones de tutoria con regularidad,16,16,100.0000
comentarios,no asiste a tutorias,142,136,95.7746
comentarios,no cuenta con referentes universitarios,20,17,85.0000
comentarios,no descarga materiales de apoyo,12,10,83.3333
comentarios,no destaca ni positiva ni negativamente,41,7,17.0732
comentarios,no entrega ejercicios en plazo,64,60,93.7500
comentarios,no entrega informes en plazo,127,119,93.7008
comentarios,no entrega practicas en plazo,85,82,96.4706
comentarios,no entrega trabajos en plazo,96,90,93.7500
comentarios,no entrega trabajos en plazo de forma repetida,19,17,89.4737
comentarios,no interactua con nadie ni en clase ni fuera,14,13,92.8571
comentarios,no interviene pero sigue la clase sin problemas aparentes,36,10,27.7778
comentarios,no logra adaptarse al entorno academico,11,11,100.0000
comentarios,no logra recuperar asignaturas previas,5,4,80.0000
comentarios,no parece que vaya a continuar el ano que viene,16,14,87.5000
comentarios,no participa en actividades extracurriculares,10,10,100.0000
comentarios,no presenta alteraciones de conducta,40,10,25.0000
comentarios,no presenta los entregables del trabajo de fin de grado,10,10,100.0000
comentarios,no requiere adaptaciones curriculares,28,10,35.7143
comentarios,no responde a los correos electronicos del profesorado,14,13,92.8571
comentarios,no se detectan incidencias relevantes,29,11,37.9310
comentarios,no se han reportado problemas de ningun tipo,36,9,25.0000
comentarios,no se presenta a las revisiones de examen,6,6,100.0000
comentarios,no suele faltar a clase,32,8,25.0000
comentarios,no trae el material necesario a las practicas,12,9,75.0000
comentarios,notas aceptable en evaluaciones,482,127,26.3485
comentarios,notas basico en evaluaciones,687,177,25.7642
comentarios,notas moderado en evaluaciones,548,125,22.8102
comentarios,notas muy por encima de la media,32,1,3.1250
comentarios,notas promedio sin destacar,38,7,18.4211
comentarios,nunca ha entrado en el horario de tutorias,12,11,91.6667
comentarios,obtiene notas muy altas en trabajos practicos,30,0,0.0000
comentarios,obtiene resultados destacados en examenes,255,0,0.0000
comentarios,obtiene resultados destacados en presentaciones,446,6,1.3453
comentarios,obtiene resultados destacados en trabajos,256,3,1.1719
comentarios,ok,33,5,15.1515
comentarios,parece confiado pero los resultados no acompanan su actitud,12,12,100.0000
comentarios,parece sobrepasado por la carga de trabajo no gestiona bien los plazos,11,11,100.0000
comentarios,parece tener dificultades para establecer relaciones sociales,14,14,100.0000
comentarios,participa activamente en clase,426,2,0.4695
comentarios,participa activamente en foros,119,1,0.8403
comentarios,participa activamente en foros moodle,26,0,0.0000
comentarios,participa activamente en seminarios,298,2,0.6711
comentarios,participa activamente en tutorias,273,2,0.7326
comentarios,participa cuando se le solicita,37,9,24.3243
comentarios,participa de forma educada,41,10,24.3902
comentarios,participa en eventos universitarios,29,0,0.0000
comentarios,participacion aceptable en clase,237,60,25.3165
comentarios,participacion activa y destacada en clase,31,0,0.0000
comentarios,participacion basico en clase,382,98,25.6545
comentarios,participacion en evaluaciones habitual,38,5,13.1579
comentarios,participacion minima en proyectos grupales,11,9,81.8182
comentarios,participacion moderada en clase,36,9,25.0000
comentarios,participacion moderado en clase,352,72,20.4545
comentarios,participacion optima en sesiones de seguimiento,35,0,0.0000
comentarios,pasa desapercibido en el aula,51,13,25.4902
comentarios,pensamiento critico y creativo en el laboratorio,38,0,0.0000
comentarios,perfil de alumno estandar,29,6,20.6897
comentarios,pieza fundamental en proyectos grupales,33,0,0.0000
comentarios,plantea un cambio de carrera,14,12,85.7143
comentarios,plantea un posible cambio de titulacion,13,13,100.0000
comentarios,poca o ninguna autocritica sobre su rendimiento,10,8,80.0000
comentarios,posible caso de plagio en el ultimo informe se requiere revision,15,14,93.3333
comentarios,pregunta en tutorias de vez en cuando,32,10,31.2500
comentarios,pregunta por cuestiones que ya han sido explicadas repetidamente,6,6,100.0000
comentarios,presencia correcta en tutorias,30,10,33.3333
comentarios,presenta signos de ansiedad en examenes,15,14,93.3333
comentarios,presenta trabajos en tiempo,41,10,24.3902
comentarios,presentaciones claras y estructuradas,25,0,0.0000
comentarios,proactivo en la busqueda de material complementario,33,0,0.0000
comentarios,problemas de integracion en su grupo,12,11,91.6667
comentarios,problemas economicos en casa que afectan al estudio,16,13,81.2500
comentarios,problemas emocionales que afectan al rendimiento,10,9,90.0000
comentarios,problemas para seguir el ritmo de las clases,7,7,100.0000
comentarios,progresa adecuadamente,46,9,19.5652
comentarios,progreso academico medio,29,5,17.2414
comentarios,progreso notable semestre tras semestre,26,0,0.0000
comentarios,promedio de notas superior a 8,30,2,6.6667
comentarios,propone soluciones originales e innovadoras a los problemas planteados,32,0,0.0000
comentarios,realiza las entregas y poco mas,39,11,28.2051
comentarios,referente en su promocion,30,1,3.3333
comentarios,relacion aceptable con companeros,421,113,26.8409
comentarios,relacion adecuado con companeros,473,124,26.2156
comentarios,relacion correcto con companeros,398,94,23.6181
comentarios,relaciones normales con companeros,43,15,34.8837
comentarios,rendimiento academico muy deficiente,12,11,91.6667
comentarios,rendimiento acorde a la media,43,9,20.9302
comentarios,rendimiento decreciente en semestres recientes,17,15,88.2353
comentarios,rendimiento global excelente,35,0,0.0000
comentarios,rendimiento muy bajo en materias troncales,10,9,90.0000
comentarios,rendimiento sobresaliente matricula de honor en varias asignaturas,25,0,0.0000
comentarios,reportes de profesores: alumno desconectado,14,14,100.0000
comentarios,respeta las reglas establecidas,40,11,27.5000
comentarios,respeta plazos con alta calidad en los entregables,33,1,3.0303
comentarios,responde a encuestas institucionales,34,10,29.4118
comentarios,responde a mensajes con normalidad,34,10,29.4118
comentarios,retrasos frecuentes en entrega de practicas,15,15,100.0000
comentarios,se ausenta en tutorias sin justificar,6,6,100.0000
comentarios,se detectan roces frecuentes con companeros,15,15,100.0000
comentarios,se distrae con facilidad en clase,15,15,100.0000
comentarios,se duerme en clase con frecuencia,9,8,88.8889
comentarios,se le ve aislado del resto de la clase,9,8,88.8889
comentarios,se mantiene en la media del grupo,43,15,34.8837
comentarios,se muestra ilusionado con la titulacion,30,0,0.0000
comentarios,se muestra perdido no sabe que hay que hacer en las tareas,12,10,83.3333
comentarios,se nota que disfruta aprendiendo transmite entusiasmo,34,0,0.0000
comentarios,se observa perdida de interes por los estudios,11,11,100.0000
comentarios,se ofrece para ayudar a companeros,284,5,1.7606
comentarios,se ofrece para ayudar a el equipo,460,2,0.4348
comentarios,se ofrece para ayudar a nuevos estudiantes,394,1,0.2538
comentarios,se percibe una falta de interes total en la materia,14,13,92.8571
comentarios,se plantea abandonar por dificultades personales,176,169,96.0227
comentarios,se plantea abandonar por falta de motivacion,178,170,95.5056
comentarios,se plantea abandonar por problemas economicos,162,150,92.5926
comentarios,se plantea dejarlo,18,16,88.8889
comentarios,se plantea interrumpir la carrera este curso,10,8,80.0000
comentarios,se recomienda seguimiento por posible desmotivacion,16,16,100.0000
comentarios,siempre dispuesto a colaborar con el departamento en lo que haga falta,30,0,0.0000
comentarios,siempre presente en clases teoricas y practicas,47,0,0.0000
comentarios,siempre va un paso por delante del temario,38,0,0.0000
comentarios,sigue las indicaciones de las practicas al pie de la letra,41,8,19.5122
comentarios,sin comentarios adicionales,33,10,30.3030
comentarios,sin incidencias,44,14,31.8182
comentarios,sin novedad en el seguimiento,37,11,29.7297
comentarios,sin solicitudes especiales registradas,41,6,14.6341
comentarios,situacion academica estable,453,102,22.5166
comentarios,situacion academica normal,346,89,25.7225
comentarios,situacion academica sin cambios,282,74,26.2411
comentarios,situacion academica sin cambios relevantes,42,11,26.1905
comentarios,situacion administrativa estable,36,6,16.6667
comentarios,situacion familiar compleja que interfiere con sus estudios,16,16,100.0000
comentarios,situacion normal,37,11,29.7297
comentarios,solicita reconocimiento de estudios externos,14,13,92.8571
comentarios,su actitud frente a el trabajo en equipo es ejemplar,307,3,0.9772
comentarios,su actitud frente a las practicas es ejemplar,360,3,0.8333
comentarios,su actitud frente a los examenes es ejemplar,263,4,1.5209
comentarios,su asistencia es correcta,44,14,31.8182
comentarios,su capacidad para sintetizar ideas complejas es digna de mencion,35,1,2.8571
comentarios,su participacion siempre enriquece el debate en el aula,42,0,0.0000
comentarios,su rendimiento es suficiente,45,9,20.0000
comentarios,su rendimiento ha caido en picado este ultimo semestre,14,14,100.0000
comentarios,su tfg es de una calidad excepcional podria publicarse,34,0,0.0000
comentarios,subestima la dificultad de las materias y no estudia lo suficiente,12,12,100.0000
comentarios,suspensos reiterados en asignaturas clave,13,12,92.3077
comentarios,tiene dudas sobre la carrera elegida,12,12,100.0000
comentarios,tiene un plan de carrera claro y trabaja para conseguirlo,27,0,0.0000
comentarios,un placer tenerle en clase,30,0,0.0000
comentarios,uso de moodle estandar,34,5,14.7059
comentarios,uso estandar de la plataforma moodle,369,82,22.2222
comentarios,uso excesivo del movil durante las explicaciones,13,13,100.0000
comentarios,uso habitual de la plataforma moodle,252,76,30.1587
comentarios,uso normal de la plataforma moodle,462,114,24.6753
comentarios,uso ocasional de servicios universitarios,35,8,22.8571
comentarios,viene a clase solo a cumplir el expediente,4,4,100.0000
comentarios,¡un alumno excelente! de los que dejan huella,36,0,0.0000
longitud_nombre_categorizada,Corto,6801,1749,25.7168
longitud_nombre_categorizada,Largo,9128,2389,26.1722
longitud_nombre_categorizada,Muy_Corto,5699,1490,26.1449
longitud_nombre_categorizada,Muy_Largo,18917,4825,25.5062
residencia_grupo,desconocido-gr00000,2,0,0.0000
residencia_grupo,desconocido-gr00001,1,1,100.0000
residencia_grupo,desconocido-gr00002,3,0,0.0000
residencia_grupo,desconocido-gr00003,1,1,100.0000
residencia_grupo,desconocido-gr00005,4,0,0.0000
residencia_grupo,desconocido-gr00006,3,2,66.6667
residencia_grupo,desconocido-gr00007,4,2,50.0000
residencia_grupo,desconocido-gr00009,1,0,0.0000
residencia_grupo,desconocido-gr00010,1,0,0.0000
residencia_grupo,desconocido-gr00013,1,1,100.0000
residencia_grupo,desconocido-gr00015,4,3,75.0000
residencia_grupo,desconocido-gr00016,2,0,0.0000
residencia_grupo,desconocido-gr00017,1,0,0.0000
residencia_grupo,desconocido-gr00019,5,0,0.0000
residencia_grupo,desconocido-gr00021,3,0,0.0000
residencia_grupo,desconocido-gr00023,1,0,0.0000
residencia_grupo,desconocido-gr00024,4,2,50.0000
residencia_grupo,desconocido-gr00025,1,1,100.0000
residencia_grupo,desconocido-gr00026,4,0,0.0000
residencia_grupo,desconocido-gr00027,1,1,100.0000
residencia_grupo,desconocido-gr00028,2,1,50.0000
residencia_grupo,desconocido-gr00029,2,0,0.0000
residencia_grupo,desconocido-gr00030,2,2,100.0000
residencia_grupo,desconocido-gr00034,1,1,100.0000
residencia_grupo,desconocido-gr00035,2,1,50.0000
residencia_grupo,desconocido-gr00036,5,1,20.0000
residencia_grupo,desconocido-gr00038,1,0,0.0000
residencia_grupo,desconocido-gr00039,1,1,100.0000
residencia_grupo,desconocido-gr00041,4,2,50.0000
residencia_grupo,desconocido-gr00042,3,0,0.0000
residencia_grupo,desconocido-gr00043,1,1,100.0000
residencia_grupo,desconocido-gr00044,1,1,100.0000
residencia_grupo,desconocido-gr00049,2,0,0.0000
residencia_grupo,desconocido-gr00051,1,0,0.0000
residencia_grupo,desconocido-gr00053,1,1,100.0000
residencia_grupo,desconocido-gr00054,1,0,0.0000
residencia_grupo,desconocido-gr00055,2,0,0.0000
residencia_grupo,desconocido-gr00057,1,0,0.0000
residencia_grupo,desconocido-gr00058,3,1,33.3333
residencia_grupo,desconocido-gr00059,2,0,0.0000
residencia_grupo,desconocido-gr00060,3,2,66.6667
residencia_grupo,desconocido-gr00061,3,1,33.3333
residencia_grupo,desconocido-gr00063,1,0,0.0000
residencia_grupo,desconocido-gr00064,1,1,100.0000
residencia_grupo,desconocido-gr00065,4,0,0.0000
residencia_grupo,desconocido-gr00066,1,1,100.0000
residencia_grupo,desconocido-gr00067,2,1,50.0000
residencia_grupo,desconocido-gr00071,2,0,0.0000
residencia_grupo,desconocido-gr00073,1,0,0.0000
residencia_grupo,desconocido-gr00074,1,1,100.0000
residencia_grupo,desconocido-gr00075,4,1,25.0000
residencia_grupo,desconocido-gr00076,1,0,0.0000
residencia_grupo,desconocido-gr00077,4,0,0.0000
residencia_grupo,desconocido-gr00078,1,1,100.0000
residencia_grupo,desconocido-gr00080,4,0,0.0000
residencia_grupo,desconocido-gr00081,1,0,0.0000
residencia_grupo,desconocido-gr00083,1,1,100.0000
residencia_grupo,desconocido-gr00084,3,0,0.0000
residencia_grupo,desconocido-gr00085,2,1,50.0000
residencia_grupo,desconocido-gr00086,1,0,0.0000
residencia_grupo,desconocido-gr00087,1,0,0.0000
residencia_grupo,desconocido-gr00088,1,1,100.0000
residencia_grupo,desconocido-gr00090,3,0,0.0000
residencia_grupo,desconocido-gr00091,1,1,100.0000
residencia_grupo,desconocido-gr00092,2,0,0.0000
residencia_grupo,desconocido-gr00093,1,0,0.0000
residencia_grupo,desconocido-gr00094,4,0,0.0000
residencia_grupo,desconocido-gr00095,2,0,0.0000
residencia_grupo,desconocido-gr00096,4,0,0.0000
residencia_grupo,desconocido-gr00097,3,0,0.0000
residencia_grupo,desconocido-gr00098,2,0,0.0000
residencia_grupo,desconocido-gr00101,4,1,25.0000
residencia_grupo,desconocido-gr00102,4,1,25.0000
residencia_grupo,desconocido-gr00104,1,0,0.0000
residencia_grupo,desconocido-gr00105,3,2,66.6667
residencia_grupo,desconocido-gr00108,4,1,25.0000
residencia_grupo,desconocido-gr00110,1,0,0.0000
residencia_grupo,desconocido-gr00111,3,0,0.0000
residencia_grupo,desconocido-gr00112,2,2,100.0000
residencia_grupo,desconocido-gr00113,1,1,100.0000
